"","GO.ID","Term","Annotated","Significant","Expected","Fisher.elim","'-log10p","Genes"
"1","GO:0045944","positive regulation of transcription by RNA polymerase II",159,10,1.51,3.2e-07,6.49485002168009,"GLI2; GLI3; HSF3; MSX1; PITX2; POU2F1; RAX; RXRG; SOX11; SOX21"
"2","GO:0000122","negative regulation of transcription by RNA polymerase II",101,6,0.96,0.00022,3.65757731917779,"HHEX; MAFK; MSX1; SOX11; SOX21; SP3"
"3","GO:0030154","cell differentiation",439,11,4.17,0.00058,3.23657200643706,"BHLHE22; CSRP1; ETS1; HHEX; MSX1; PITX2; POU2F1; RXRG; SOX11; SOX21; SP3"
"4","GO:0048562","embryonic organ morphogenesis",48,4,0.46,0.00085,3.07058107428571,"MSX1; PITX2; SOX21; SP3"
"5","GO:0060173","limb development",35,3,0.33,0.00389,2.41005039867429,"GLI3; MSX1; PITX2"
"6","GO:0009408","response to heat",12,2,0.11,0.00531,2.27490547891853,"DNMT3A; HSF3"
"7","GO:0007224","smoothened signaling pathway",14,2,0.13,0.00724,2.14026143380285,"GLI2; GLI3"
"8","GO:0006355","regulation of transcription, DNA-templated",375,16,3.56,0.0083,2.08092190762393,"BHLHE22; ETS1; GLI2; GLI3; HHEX; HSF3; MAFA; MAFK; MSX1; PITX2; POU2F1; RAX; RXRG; SOX11; SOX21; SP3"
"9","GO:0090596","sensory organ morphogenesis",48,3,0.46,0.0095,2.02227639471115,"MSX1; SOX21; SP3"
"10","GO:0032526","response to retinoic acid",17,2,0.16,0.01063,1.9734667354767,"PITX2; RXRG"
"11","GO:0042471","ear morphogenesis",20,2,0.19,0.01461,1.8353497840657,"MSX1; SOX21"
"12","GO:0030326","embryonic limb morphogenesis",20,2,0.19,0.01461,1.8353497840657,"MSX1; PITX2"
"13","GO:0035113","embryonic appendage morphogenesis",21,2,0.2,0.01605,1.79452496325911,"MSX1; PITX2"
"14","GO:0048856","anatomical structure development",638,13,6.05,0.01912,1.71851211205992,"BHLHE22; CSRP1; ETS1; GLI2; GLI3; HHEX; MSX1; PITX2; RAX; RXRG; SOX11; SOX21; SP3"
"15","GO:0090068","positive regulation of cell cycle process",24,2,0.23,0.02075,1.68298189895189,"HSF3; MSX1"
"16","GO:0035108","limb morphogenesis",24,2,0.23,0.02075,1.68298189895189,"MSX1; PITX2"
"17","GO:0007389","pattern specification process",64,3,0.61,0.02081,1.68172791978837,"GLI3; MSX1; PITX2"
"18","GO:0006357","regulation of transcription by RNA polymerase II",291,15,2.76,0.02214,1.6548223834573,"BHLHE22; ETS1; GLI2; GLI3; HHEX; HSF3; MAFK; MSX1; PITX2; POU2F1; RAX; RXRG; SOX11; SOX21; SP3"
"19","GO:0035107","appendage morphogenesis",25,2,0.24,0.02243,1.64917072641703,"MSX1; PITX2"
"20","GO:0061061","muscle structure development",69,3,0.65,0.0254,1.59516628338006,"CSRP1; MSX1; PITX2"
"21","GO:0006366","transcription by RNA polymerase II",298,15,2.83,0.02578,1.58871708698262,"BHLHE22; ETS1; GLI2; GLI3; HHEX; HSF3; MAFK; MSX1; PITX2; POU2F1; RAX; RXRG; SOX11; SOX21; SP3"
"22","GO:0043583","ear development",30,2,0.28,0.03162,1.50003813440381,"MSX1; SOX21"
"23","GO:0003007","heart morphogenesis",31,2,0.29,0.03361,1.47353148753052,"MSX1; PITX2"
"24","GO:0048863","stem cell differentiation",31,2,0.29,0.03361,1.47353148753052,"MSX1; SOX21"
"25","GO:0009952","anterior/posterior pattern specification",32,2,0.3,0.03565,1.44794046581212,"GLI3; MSX1"
"26","GO:0045787","positive regulation of cell cycle",33,2,0.31,0.03774,1.42319810417109,"HSF3; MSX1"
