"","GO.ID","Term","Annotated","Significant","Expected","Fisher.elim","'-log10p","Genes"
"1","GO:0045944","positive regulation of transcription by RNA polymerase II",152,11,1.94,6.9e-07,6.16115090926274,"BARX1; DLX5; GLI3; HSF3; MYC; NFIA; POU2F1; RARB; RAX; SOX11; SOX21"
"2","GO:0000122","negative regulation of transcription by RNA polymerase II",100,9,1.28,1.6e-06,5.79588001734407,"BCL6; HESX1; HHEX; MAFK; MYC; NFIA; RARB; SOX11; SOX21"
"3","GO:0006357","regulation of transcription by RNA polymerase II",280,19,3.58,5e-04,3.30102999566398,"BARX1; BCL6; BHLHE22; DLX5; ETS1; GLI3; HESX1; HHEX; HSF3; MAFK; MIXL1; MYC; NFE2L1; NFIA; POU2F1; RARB; RAX; SOX11; SOX21"
"4","GO:0090304","nucleic acid metabolic process",580,23,7.42,0.0052,2.2839966563652,"BARX1; BCL6; BHLHE22; DLX5; DNMT3A; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; RPA1; SOX11; SOX21"
"5","GO:0048839","inner ear development",29,3,0.37,0.0054,2.26760624017703,"DLX5; RARB; SOX21"
"6","GO:0030900","forebrain development",29,3,0.37,0.0054,2.26760624017703,"DLX5; HESX1; RARB"
"7","GO:0034654","nucleobase-containing compound biosynthetic process",421,22,5.38,0.0059,2.22914798835786,"BARX1; BCL6; BHLHE22; DLX5; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; RPA1; SOX11; SOX21"
"8","GO:0048568","embryonic organ development",61,4,0.78,0.0066,2.18045606445813,"DLX5; GLI3; RARB; SOX21"
"9","GO:0060173","limb development",34,3,0.43,0.0085,2.07058107428571,"DLX5; GLI3; RARB"
"10","GO:0090263","positive regulation of canonical Wnt signaling pathway",12,2,0.15,0.0096,2.01772876696043,"DLX5; SOX11"
"11","GO:0009408","response to heat",12,2,0.15,0.0096,2.01772876696043,"DNMT3A; HSF3"
"12","GO:0060350","endochondral bone morphogenesis",12,2,0.15,0.0096,2.01772876696043,"DLX5; RARB"
"13","GO:0030154","cell differentiation",431,11,5.51,0.0108,1.96657624451305,"BCL6; BHLHE22; CSRP1; DLX5; ETS1; HHEX; MIXL1; POU2F1; RARB; SOX11; SOX21"
"14","GO:0048869","cellular developmental process",439,11,5.61,0.0125,1.90308998699194,"BCL6; BHLHE22; CSRP1; DLX5; ETS1; HHEX; MIXL1; POU2F1; RARB; SOX11; SOX21"
"15","GO:0010468","regulation of gene expression",474,22,6.06,0.0147,1.83268266525182,"BARX1; BCL6; BHLHE22; DLX5; DNMT3A; ETS1; GLI3; HESX1; HHEX; HSF3; MAFA; MAFK; MIXL1; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; SOX11; SOX21"
"16","GO:0048562","embryonic organ morphogenesis",44,3,0.56,0.0173,1.7619538968712,"DLX5; RARB; SOX21"
"17","GO:0008284","positive regulation of cell population proliferation",84,4,1.07,0.02,1.69897000433602,"BCL6; DLX5; HSF3; MYC"
"18","GO:0090596","sensory organ morphogenesis",47,3,0.6,0.0206,1.68613277963085,"DLX5; RARB; SOX21"
"19","GO:0045893","positive regulation of transcription, DNA-templated",183,13,2.34,0.0216,1.66554624884907,"BARX1; DLX5; GLI3; HSF3; MYC; NFE2L1; NFIA; NFYB; POU2F1; RARB; RAX; SOX11; SOX21"
"20","GO:0042472","inner ear morphogenesis",19,2,0.24,0.0235,1.62893213772826,"DLX5; SOX21"
"21","GO:0030326","embryonic limb morphogenesis",19,2,0.24,0.0235,1.62893213772826,"DLX5; RARB"
