"","GO.ID","Term","Annotated","Significant","Expected","Fisher.elim","'-log10p","Genes"
"1","GO:0006357","regulation of transcription by RNA polymerase II",280,11,2.24,0.00021,3.67778070526608,"DBX2; DMRT1; FOS; MYF6; NR2E1; NR3C2; PGR; RREB1; SIX3; SOX9; SRF"
"2","GO:0045892","negative regulation of transcription, DNA-templated",152,6,1.21,0.00069,3.16115090926274,"DNMT1; NR2E1; RREB1; SIX3; SOX9; ZEB1"
"3","GO:0045944","positive regulation of transcription by RNA polymerase II",152,6,1.21,0.00069,3.16115090926274,"FOS; MYF6; RREB1; SIX3; SOX9; SRF"
"4","GO:0071383","cellular response to steroid hormone stimulus",11,2,0.09,0.00315,2.5016894462104,"NR3C2; PGR"
"5","GO:0045661","regulation of myoblast differentiation",11,2,0.09,0.00315,2.5016894462104,"MYF6; SOX9"
"6","GO:0035914","skeletal muscle cell differentiation",12,2,0.1,0.00376,2.42481215507234,"FOS; MYF6"
"7","GO:0060284","regulation of cell development",92,4,0.74,0.00487,2.31247103878537,"MYF6; SIX3; SOX9; ZEB1"
"8","GO:0009612","response to mechanical stimulus",14,2,0.11,0.00513,2.28988263488818,"FOS; SOX9"
"9","GO:0045597","positive regulation of cell differentiation",99,4,0.79,0.00634,2.19791074211827,"FOS; MYF6; SOX9; ZEB1"
"10","GO:0003407","neural retina development",18,2,0.14,0.00847,2.07211658966929,"SIX3; SOX9"
"11","GO:0035270","endocrine system development",18,2,0.14,0.00847,2.07211658966929,"SIX3; SOX9"
"12","GO:0002064","epithelial cell development",19,2,0.15,0.00943,2.02548830726267,"SIX3; SOX9"
"13","GO:0046546","development of primary male sexual characteristics",20,2,0.16,0.01043,1.98171569157347,"DMRT1; SOX9"
"14","GO:0008584","male gonad development",20,2,0.16,0.01043,1.98171569157347,"DMRT1; SOX9"
"15","GO:0030522","intracellular receptor signaling pathway",20,2,0.16,0.01043,1.98171569157347,"NR3C2; PGR"
"16","GO:0009755","hormone-mediated signaling pathway",20,2,0.16,0.01043,1.98171569157347,"NR3C2; PGR"
"17","GO:0046661","male sex differentiation",21,2,0.17,0.01147,1.94043658209873,"DMRT1; SOX9"
"18","GO:0071560","cellular response to transforming growth factor beta stimulus",21,2,0.17,0.01147,1.94043658209873,"FOS; SOX9"
"19","GO:0071559","response to transforming growth factor beta",21,2,0.17,0.01147,1.94043658209873,"FOS; SOX9"
"20","GO:2000026","regulation of multicellular organismal development",186,5,1.49,0.0119,1.92445303860747,"FOS; MYF6; SIX3; SOX9; ZEB1"
"21","GO:0048593","camera-type eye morphogenesis",22,2,0.18,0.01256,1.90101036059882,"SIX3; SOX9"
"22","GO:0034504","protein localization to nucleus",22,2,0.18,0.01256,1.90101036059882,"SIX3; SOX9"
"23","GO:0045665","negative regulation of neuron differentiation",23,2,0.18,0.01369,1.86359655186601,"SIX3; SOX9"
"24","GO:0031497","chromatin assembly",23,2,0.18,0.01369,1.86359655186601,"DNMT1; SOX9"
"25","GO:0006333","chromatin assembly or disassembly",24,2,0.19,0.01487,1.82768903147805,"DNMT1; SOX9"
"26","GO:0071496","cellular response to external stimulus",25,2,0.2,0.01609,1.79344395590097,"FOS; SOX9"
"27","GO:0045664","regulation of neuron differentiation",70,3,0.56,0.01638,1.7856861025756,"SIX3; SOX9; ZEB1"
"28","GO:0030178","negative regulation of Wnt signaling pathway",26,2,0.21,0.01735,1.76070052087311,"SIX3; SOX9"
"29","GO:0008406","gonad development",27,2,0.22,0.01865,1.72932116385529,"DMRT1; SOX9"
"30","GO:0045137","development of primary sexual characteristics",27,2,0.22,0.01865,1.72932116385529,"DMRT1; SOX9"
"31","GO:0050768","negative regulation of neurogenesis",28,2,0.22,0.01999,1.69918720588188,"SIX3; SOX9"
"32","GO:0048592","eye morphogenesis",28,2,0.22,0.01999,1.69918720588188,"SIX3; SOX9"
"33","GO:0051961","negative regulation of nervous system development",29,2,0.23,0.02137,1.67019547783593,"SIX3; SOX9"
"34","GO:0006323","DNA packaging",29,2,0.23,0.02137,1.67019547783593,"DNMT1; SOX9"
"35","GO:0006338","chromatin remodeling",29,2,0.23,0.02137,1.67019547783593,"DNMT1; SOX9"
"36","GO:0050767","regulation of neurogenesis",79,3,0.63,0.02265,1.64493179365115,"SIX3; SOX9; ZEB1"
"37","GO:0007548","sex differentiation",30,2,0.24,0.02279,1.64225567481962,"DMRT1; SOX9"
"38","GO:0010721","negative regulation of cell development",30,2,0.24,0.02279,1.64225567481962,"SIX3; SOX9"
"39","GO:0048863","stem cell differentiation",30,2,0.24,0.02279,1.64225567481962,"SIX3; SOX9"
"40","GO:0061458","reproductive system development",31,2,0.25,0.02425,1.61528825706172,"DMRT1; SOX9"
"41","GO:0048608","reproductive structure development",31,2,0.25,0.02425,1.61528825706172,"DMRT1; SOX9"
"42","GO:0051240","positive regulation of multicellular organismal process",148,4,1.18,0.0255,1.59345981956604,"FOS; MYF6; SOX9; ZEB1"
"43","GO:0051093","negative regulation of developmental process",84,3,0.67,0.02664,1.57446577950174,"SIX3; SOX9; YBX1"
"44","GO:0048598","embryonic morphogenesis",84,3,0.67,0.02664,1.57446577950174,"SIX3; SOX9; YBX1"
"45","GO:0051960","regulation of nervous system development",88,3,0.7,0.03009,1.52157781225992,"SIX3; SOX9; ZEB1"
"46","GO:0048732","gland development",39,2,0.31,0.03725,1.42887372291569,"SIX3; SOX9"
"47","GO:0051239","regulation of multicellular organismal process",250,5,2,0.03901,1.40882404968821,"FOS; MYF6; SIX3; SOX9; ZEB1"
"48","GO:0000122","negative regulation of transcription by RNA polymerase II",100,3,0.8,0.04184,1.37840832414078,"NR2E1; RREB1; SOX9"
"49","GO:0051130","positive regulation of cellular component organization",100,3,0.8,0.04184,1.37840832414078,"DNMT1; MYF6; SOX9"
"50","GO:0007276","gamete generation",42,2,0.34,0.04269,1.36967384519605,"DMRT1; SOX9"
"51","GO:0051253","negative regulation of RNA metabolic process",161,7,1.29,0.04609,1.33639329187548,"DNMT1; NR2E1; RREB1; SIX3; SOX9; YBX1; ZEB1"
"52","GO:0048562","embryonic organ morphogenesis",44,2,0.35,0.04648,1.33273388061773,"SIX3; SOX9"
