"","Pathway","number_of_genes","number_of_genes_from_query","p_adj","-log10p","Genes"
"path:gga04350","TGF-beta signaling pathway",92,5,2.1042569212906e-06,5.67690123567476,"ID1; ID2; MYC; EP300; ID3"
"path:gga04520","Adherens junction",71,3,0.0006965425751536,3.15705233280905,"TCF7L2; SNAI1; EP300"
"path:gga04310","Wnt signaling pathway",147,3,0.00563908042838955,2.24879171116503,"TCF7L2; MYC; EP300"
"path:gga04916","Melanogenesis",91,2,0.0221823072032223,1.65399328444851,"TCF7L2; EP300"
"path:gga04110","Cell cycle",118,2,0.035953968604528,1.4442531651442,"MYC; EP300"
"path:gga04068","FoxO signaling pathway",122,2,0.0382209139418252,1.41769893226934,"BCL6; EP300"
"path:gga03430","Mismatch repair",20,1,0.0505333795066217,1.2964216566005,"RPA1"
"path:gga04218","Cellular senescence",144,2,0.0516400506508485,1.28701334043015,"ETS1; MYC"
"path:gga03030","DNA replication",31,1,0.0773114321142619,1.11175628179914,"RPA1"
"path:gga03420","Nucleotide excision repair",38,1,0.0939871845971151,1.02693135957248,"RPA1"
"path:gga03440","Homologous recombination",38,1,0.0939871845971151,1.02693135957248,"RPA1"
"path:gga00270","Cysteine and methionine metabolism",43,1,0.105727623479362,0.975811529652572,"DNMT3A"
"path:gga04340","Hedgehog signaling pathway",48,1,0.117327488096883,0.930600227183322,"GLI3"
"path:gga05132","Salmonella infection",235,2,0.120891654469275,0.917603678816994,"TCF7L2; MYC"
"path:gga03460","Fanconi anemia pathway",50,1,0.121928419626042,0.913895055265666,"RPA1"
"path:gga04330","Notch signaling pathway",55,1,0.133334071479047,0.875058859103779,"EP300"
"path:gga04012","ErbB signaling pathway",78,1,0.184060032102307,0.735040506563217,"MYC"
"path:gga05164","Influenza A",140,1,0.307470579662881,0.512196433388842,"EP300"
"path:gga05168","Herpes simplex virus 1 infection",152,1,0.329267521540394,0.482451105338573,"POU2F1"
"path:gga04010","MAPK signaling pathway",260,1,0.498827293632464,0.302049791862141,"MYC"
"path:gga01100","Metabolic pathways",1353,1,0.983074152164982,0.00741372259361048,""
