"","Pathway","number_of_genes","number_of_genes_from_query","p_adj","-log10p","Genes"
"path:gga04330","Notch signaling pathway",55,3,0.000327480138118192,3.48481503511418,"HES5; HES4; RBPJ"
"path:gga04210","Apoptosis",125,3,0.00357089361647812,2.44722308804993,"NFKBIA; FOS; ATF4"
"path:gga04137","Mitophagy - animal",64,2,0.0113581710756665,1.94469159430211,"TFEB; ATF4"
"path:gga04620","Toll-like receptor signaling pathway",84,2,0.0190766672486124,1.71949749556285,"NFKBIA; FOS"
"path:gga05132","Salmonella infection",235,3,0.0203318789593545,1.69182248442285,"NFKBIA; LEF1; FOS"
"path:gga04010","MAPK signaling pathway",260,3,0.0265470717591849,1.57598337623836,"SRF; FOS; ATF4"
"path:gga00270","Cysteine and methionine metabolism",43,1,0.105727623479362,0.975811529652572,"DNMT1"
"path:gga04623","Cytosolic DNA-sensing pathway",44,1,0.108058792698286,0.966339888984511,"NFKBIA"
"path:gga03460","Fanconi anemia pathway",50,1,0.121928419626042,0.913895055265666,"HES4"
"path:gga04622","RIG-I-like receptor signaling pathway",57,1,0.137857917272356,0.860568287019519,"NFKBIA"
"path:gga04920","Adipocytokine signaling pathway",64,1,0.153520286814527,0.813834226900452,"NFKBIA"
"path:gga04520","Adherens junction",71,1,0.168919640287758,0.772319852070763,"LEF1"
"path:gga04914","Progesterone-mediated oocyte maturation",80,1,0.188338854777472,0.725060074700728,"PGR"
"path:gga04912","GnRH signaling pathway",84,1,0.196834430170039,0.705898932708479,"ATF4"
"path:gga04625","C-type lectin receptor signaling pathway",88,1,0.205247857210929,0.687721368222296,"NFKBIA"
"path:gga04916","Melanogenesis",91,1,0.211504456234087,0.674680477946214,"LEF1"
"path:gga04350","TGF-beta signaling pathway",92,1,0.213579864630313,0.670439693086075,"ID4"
"path:gga04114","Oocyte meiosis",101,1,0.232032925515151,0.63445038426878,"PGR"
"path:gga04261","Adrenergic signaling in cardiomyocytes",127,1,0.283120650077242,0.548028453179828,"ATF4"
"path:gga04621","NOD-like receptor signaling pathway",131,1,0.290695817972948,0.536561216060107,"NFKBIA"
"path:gga05164","Influenza A",140,1,0.307470579662881,0.512196433388842,"NFKBIA"
"path:gga04310","Wnt signaling pathway",147,1,0.320263599512365,0.494492419529331,"LEF1"
"path:gga05168","Herpes simplex virus 1 infection",152,1,0.329267521540394,0.482451105338573,"NFKBIA"
"path:gga04141","Protein processing in endoplasmic reticulum",155,1,0.334616896519532,0.475452133069008,"ATF4"
"path:gga04530","Tight junction",157,1,0.338161237865715,0.470876175407138,"YBX3"
"path:gga01100","Metabolic pathways",1353,1,0.983074152164982,0.00741372259361048,""
